"Местное время в Маче";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.07.2020 15:00";"29.7";"744.5";"758.4";"";"42";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"15.3";"";"";"";"";"";""
"01.07.2020 09:00";"18.5";"746.4";"760.8";"";"80";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"12.4";"";"";"";"";"";"";"20.0";"14.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";""
"30.06.2020 21:00";"25.9";"744.6";"758.5";"";"52";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"27.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"15.2";"Осадков нет";"12";"";"";"";""
"30.06.2020 15:00";"26.3";"744.5";"758.5";"";"51";"Штиль, безветрие";"0";"";"";"100%.";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"15.3";"";"";"";"";"";""
"30.06.2020 09:00";"18.7";"745.3";"759.6";"";"79";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"12.9";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"14.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";""
"29.06.2020 21:00";"25.5";"742.4";"756.4";"";"56";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Облака в целом образовывались или развивались. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"30.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"16.1";"Осадков нет";"12";"";"";"";""
"29.06.2020 15:00";"28.4";"741.7";"755.5";"";"42";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"14.1";"";"";"";"";"";""
"29.06.2020 09:00";"16.8";"742.7";"757.1";"";"71";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"11.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"11.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";""
"28.06.2020 21:00";"21.1";"739.7";"753.7";"";"73";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"28.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"16.0";"Следы осадков";"12";"";"";"";""
"28.06.2020 15:00";"26.5";"739.3";"753.2";"";"48";"Ветер, дующий с востоко-северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"14.7";"";"";"";"";"";""
"28.06.2020 09:00";"16.1";"741.1";"755.5";"";"83";"Ветер, дующий с востока";"1";"";"";"40%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"11.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"13.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";""
"27.06.2020 21:00";"22.3";"739.2";"753.2";"";"71";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"26.9";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"16.8";"Следы осадков";"12";"";"";"";""
"27.06.2020 15:00";"20.5";"739.3";"753.4";"";"62";"Ветер, дующий с северо-востока";"4";"";"13";"100%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"13.0";"";"";"";"";"";""
"27.06.2020 09:00";"17.6";"740.9";"755.2";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"50.0";"13.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";""
"26.06.2020 21:00";"20.5";"739.1";"753.2";"";"68";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"27.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"14.3";"Следы осадков";"12";"";"";"";""
"26.06.2020 15:00";"26.9";"738.8";"752.6";"";"40";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Гроза (с осадками или без них). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"12.0";"";"";"";"";"";""
"26.06.2020 09:00";"16.4";"739.3";"753.7";"";"66";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"11.8";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"10.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";""
"25.06.2020 21:00";"21.7";"737.0";"751.0";"";"68";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"24.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"15.5";"0.3";"12";"";"";"";""
"25.06.2020 15:00";"21.5";"737.5";"751.5";"";"59";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.0";"";"";"";"";"";""
"25.06.2020 09:00";"14.2";"739.2";"753.6";"";"93";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"13.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";""
"24.06.2020 21:00";"20.1";"739.6";"753.7";"";"67";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"25.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"13.7";"Осадков нет";"12";"";"";"";""
"24.06.2020 15:00";"22.6";"740.3";"754.3";"";"56";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.3";"";"";"";"";"";""
"24.06.2020 09:00";"14.7";"741.4";"755.9";"";"92";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.4";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";""
"23.06.2020 21:00";"14.4";"741.2";"755.7";"";"96";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"21.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"13.7";"3.0";"12";"";"";"";""
"23.06.2020 15:00";"19.1";"741.1";"755.4";"";"71";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";"Гроза (с осадками или без них). ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"13.7";"";"";"";"";"";""
"23.06.2020 09:00";"10.6";"742.6";"757.3";"";"99";"Ветер, дующий с севера";"2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, ослабел за последний час. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"9.8";"";"";"";"";"";"";"0.5";"10.4";"2.0";"12";"Поверхность почвы влажная.";"10.0";"";""
"22.06.2020 21:00";"14.4";"743.1";"757.6";"";"96";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"24.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.7";"9.0";"12";"";"";"";""
"22.06.2020 15:00";"23.7";"741.7";"755.7";"";"52";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"13.2";"";"";"";"";"";""
"22.06.2020 09:00";"13.4";"743.1";"757.6";"";"93";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Облака в целом образовывались или развивались. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"9.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"12.3";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";""
"21.06.2020 21:00";"18.7";"742.1";"755.6";"";"79";"Штиль, безветрие";"0";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"24.4";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"10%  или менее, но не 0";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"14.9";"3.0";"12";"";"";"";""
"21.06.2020 15:00";"21.2";"741.8";"756.0";"";"56";"Ветер, дующий с северо-востока";"4";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"10.0";"12.0";"";"";"";"";"";""
"21.06.2020 09:00";"13.4";"743.2";"757.7";"";"86";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"8.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"11.1";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";""
"20.06.2020 21:00";"24.7";"741.1";"755.2";"";"45";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"26.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"11.9";"Осадков нет";"12";"";"";"";""
"20.06.2020 15:00";"24.1";"741.5";"755.5";"";"46";"Ветер, дующий с востоко-юго-востока";"4";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"11.6";"";"";"";"";"";""
"20.06.2020 09:00";"10.9";"743.0";"757.7";"";"96";"Ветер, дующий с северо-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"9.1";"";"";"";"";"";"";"0.2";"10.3";"4.0";"12";"Поверхность почвы влажная.";"12.0";"";""
"19.06.2020 21:00";"20.9";"741.1";"755.3";"";"61";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"23.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"13.0";"Осадков нет";"12";"";"";"";""
"19.06.2020 15:00";"19.2";"741.7";"755.9";"";"65";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"12.4";"";"";"";"";"";""
"19.06.2020 09:00";"10.2";"743.2";"757.9";"";"97";"Ветер, дующий с северо-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, ослабел за последний час. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"8.3";"";"";"";"";"";"";"0.5";"9.8";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";""
"18.06.2020 21:00";"14.2";"743.3";"757.9";"";"78";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"15.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"10.4";"Следы осадков";"12";"";"";"";""
"18.06.2020 15:00";"13.8";"743.4";"757.9";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"";"";"50.0";"10.4";"";"";"";"";"";""
"18.06.2020 09:00";"11.2";"743.3";"758.0";"";"97";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.8";"6.0";"12";"Поверхность почвы влажная.";"11.0";"";""
"17.06.2020 21:00";"11.1";"742.9";"757.6";"";"96";"Ветер, дующий с запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"16.3";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"600-1000";"";"";"10.0";"10.5";"15.0";"12";"";"";"";""
"17.06.2020 15:00";"12.6";"740.8";"755.4";"";"92";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"11.3";"";"";"";"";"";""
"17.06.2020 09:00";"14.9";"738.5";"752.9";"";"90";"Ветер, дующий с северо-запада";"5";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.3";"3.0";"12";"Поверхность почвы влажная.";"14.0";"";""
"16.06.2020 21:00";"22.5";"736.4";"750.4";"";"66";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"28.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"15.7";"Следы осадков";"12";"";"";"";""
"16.06.2020 15:00";"25.9";"736.4";"750.3";"";"46";"Ветер, дующий с востока";"4";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"13.5";"";"";"";"";"";""
"16.06.2020 09:00";"16.2";"737.9";"752.2";"";"93";"Штиль, безветрие";"0";"";"";"50%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"15.0";"0.9";"12";"Поверхность почвы влажная.";"14.0";"";""
"15.06.2020 21:00";"23.1";"736.1";"750.1";"";"50";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"26.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"12.0";"Осадков нет";"12";"";"";"";""
"15.06.2020 15:00";"23.5";"737.7";"751.6";"";"44";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"10.5";"";"";"";"";"";""
"15.06.2020 09:00";"11.6";"739.9";"754.5";"";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"4.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"9.4";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";""
"14.06.2020 21:00";"17.8";"738.6";"752.8";"";"65";"Ветер, дующий с юга";"2";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"19.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"11.2";"0.5";"12";"";"";"";""
