"Местное время в Светлом";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.10.2020 23:00";"-2.0";"732.0";"";"";"64";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 20:00";"-1.0";"732.0";"";"";"57";"Ветер, дующий с запада";"3";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 17:00";"-2.0";"731.0";"";"";"79";"Ветер, дующий с запада";"2";"";"";"";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 14:00";"-2.0";"731.0";"";"";"77";"Ветер, дующий с северо-запада";"1";"";"";"";"Ливневый снег или ливневый дождь и снег. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 11:00";"-3.0";"731.0";"";"";"86";"Штиль, безветрие";"0";"";"";"";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 08:00";"-4.0";"731.0";"";"";"93";"Штиль, безветрие";"0";"";"";"";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 05:00";"-5.0";"732.0";"";"";"83";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14.10.2020 02:00";"-2.0";"745.0";"";"";"60";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 23:00";"-4.0";"734.0";"";"";"66";"Ветер, дующий с запада";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 20:00";"-3.0";"735.0";"";"";"59";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 17:00";"-3.0";"735.0";"";"";"58";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 14:00";"-1.0";"735.0";"";"";"42";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 11:00";"-3.0";"736.0";"";"";"52";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 08:00";"-10.0";"737.0";"";"";"84";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 05:00";"-12.0";"737.0";"";"";"89";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13.10.2020 02:00";"-9.0";"737.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 23:00";"-9.0";"737.0";"";"";"73";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 20:00";"-6.0";"736.0";"";"";"68";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 17:00";"-2.0";"735.0";"";"";"50";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 14:00";"-1.0";"735.0";"";"";"51";"Ветер, дующий с северо-запада";"1";"";"";"";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 11:00";"-5.0";"735.0";"";"";"75";"Ветер, дующий с юга";"1";"";"";"";"Ливневый снег или ливневый дождь и снег. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 08:00";"-9.0";"735.0";"";"";"88";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 05:00";"-9.0";"735.0";"";"";"92";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12.10.2020 02:00";"-9.0";"735.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 23:00";"-8.0";"734.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 20:00";"-4.0";"734.0";"";"";"64";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 17:00";"-2.0";"734.0";"";"";"40";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 14:00";"-1.0";"734.0";"";"";"33";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 11:00";"-2.0";"735.0";"";"";"63";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 08:00";"-6.0";"736.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 05:00";"-6.0";"735.0";"";"";"89";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11.10.2020 02:00";"-5.0";"736.0";"";"";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 23:00";"-4.0";"736.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 20:00";"-3.0";"736.0";"";"";"82";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 17:00";"-1.0";"735.0";"";"";"65";"Ветер, дующий с севера";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 14:00";"0.0";"735.0";"";"";"68";"Ветер, дующий с севера";"3";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 11:00";"0.0";"735.0";"";"";"80";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 08:00";"-5.0";"735.0";"";"";"96";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 05:00";"-4.0";"734.0";"";"";"95";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10.10.2020 02:00";"-2.0";"733.0";"";"";"99";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 23:00";"-1.0";"733.0";"";"";"97";"Штиль, безветрие";"0";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 20:00";"0.0";"734.0";"";"";"98";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 17:00";"0.0";"734.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 14:00";"0.0";"734.0";"";"";"88";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 11:00";"-1.0";"735.0";"";"";"68";"Ветер, дующий с запада";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 08:00";"-5.0";"736.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 05:00";"-6.0";"736.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09.10.2020 02:00";"-6.0";"736.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 23:00";"-4.0";"736.0";"";"";"75";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 20:00";"-3.0";"736.0";"";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 17:00";"4.0";"735.0";"";"";"41";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 14:00";"5.0";"736.0";"";"";"38";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 11:00";"4.0";"737.0";"";"";"41";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 08:00";"-3.0";"738.0";"";"";"74";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 05:00";"-4.0";"738.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08.10.2020 02:00";"0.0";"737.0";"";"";"54";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 23:00";"4.0";"735.0";"";"";"49";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 20:00";"4.0";"733.0";"";"";"60";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 17:00";"10.0";"732.0";"";"";"33";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 14:00";"11.0";"731.0";"";"";"31";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 11:00";"4.0";"733.0";"";"";"51";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 08:00";"-4.0";"734.0";"";"";"93";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 05:00";"-5.0";"734.0";"";"";"91";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07.10.2020 02:00";"-3.0";"734.0";"";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 23:00";"1.0";"733.0";"";"";"61";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 20:00";"4.0";"733.0";"";"";"51";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 17:00";"10.0";"732.0";"";"";"34";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 14:00";"11.0";"733.0";"";"";"36";"Ветер, дующий с юго-востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 11:00";"7.0";"734.0";"";"";"38";"Ветер, дующий с юго-запада";"3";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 08:00";"2.0";"735.0";"";"";"54";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 05:00";"3.0";"734.0";"";"";"44";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06.10.2020 02:00";"4.0";"735.0";"";"";"42";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 23:00";"4.0";"735.0";"";"";"42";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 20:00";"5.0";"736.0";"";"";"42";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 17:00";"5.0";"735.0";"";"";"39";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 14:00";"5.0";"736.0";"";"";"38";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 11:00";"4.0";"737.0";"";"";"42";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 08:00";"2.0";"737.0";"";"";"43";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 05:00";"1.0";"738.0";"";"";"51";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.10.2020 02:00";"2.0";"738.0";"";"";"47";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 23:00";"2.0";"738.0";"";"";"45";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 20:00";"2.0";"737.0";"";"";"42";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 17:00";"4.0";"738.0";"";"";"39";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 14:00";"5.0";"738.0";"";"";"42";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 11:00";"3.0";"739.0";"";"";"44";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 08:00";"1.0";"739.0";"";"";"43";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 05:00";"-1.0";"749.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04.10.2020 02:00";"0.0";"740.0";"";"";"50";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 23:00";"1.0";"740.0";"";"";"47";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 20:00";"1.0";"740.0";"";"";"50";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 17:00";"2.0";"740.0";"";"";"60";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 14:00";"2.0";"740.0";"";"";"53";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 11:00";"1.0";"741.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 08:00";"-1.0";"741.0";"";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 05:00";"0.0";"741.0";"";"";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03.10.2020 02:00";"-1.0";"740.0";"";"";"97";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 23:00";"0.0";"740.0";"";"";"98";"Штиль, безветрие";"0";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 20:00";"0.0";"740.0";"";"";"92";"Штиль, безветрие";"0";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 17:00";"1.0";"739.0";"";"";"88";"Ветер, дующий с востока";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 14:00";"1.0";"739.0";"";"";"88";"Ветер, дующий с востока";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 11:00";"0.0";"739.0";"";"";"88";"Штиль, безветрие";"0";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 08:00";"-2.0";"739.0";"";"";"89";"Ветер, дующий с северо-запада";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 05:00";"-2.0";"738.0";"";"";"91";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02.10.2020 02:00";"-2.0";"738.0";"";"";"89";"Ветер, дующий с северо-запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 23:00";"-2.0";"738.0";"";"";"92";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 20:00";"-2.0";"738.0";"";"";"87";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 17:00";"2.0";"737.0";"";"";"58";"Ветер, дующий с юго-востока";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 14:00";"2.0";"737.0";"";"";"64";"Ветер, дующий с юго-востока";"1";"";"";"";"Ливневый снег или ливневый дождь и снег. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 11:00";"2.0";"737.0";"";"";"65";"Ветер, дующий с юга";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 08:00";"0.0";"736.0";"";"";"96";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег или ливневый дождь и снег. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 05:00";"-1.0";"735.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01.10.2020 02:00";"0.0";"734.0";"";"";"92";"Ветер, дующий с северо-запада";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 23:00";"0.0";"733.0";"";"";"92";"Ветер, дующий с северо-запада";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 20:00";"1.0";"731.0";"";"";"90";"Ветер, дующий с севера";"2";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 17:00";"3.0";"731.0";"";"";"73";"Ветер, дующий с севера";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 14:00";"4.0";"730.0";"";"";"71";"Ветер, дующий с севера";"2";"";"";"";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 11:00";"3.0";"730.0";"";"";"91";"Ветер, дующий с северо-запада";"2";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 08:00";"3.0";"730.0";"";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 05:00";"5.0";"730.0";"";"";"84";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.09.2020 02:00";"7.0";"730.0";"";"";"73";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 23:00";"8.0";"729.0";"";"";"62";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 20:00";"9.0";"729.0";"";"";"56";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 17:00";"10.0";"729.0";"";"";"52";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 14:00";"10.0";"728.0";"";"";"52";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 11:00";"10.0";"728.0";"";"";"53";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 08:00";"8.0";"728.0";"";"";"56";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 05:00";"7.0";"728.0";"";"";"62";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.09.2020 02:00";"7.0";"728.0";"";"";"54";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 23:00";"6.0";"729.0";"";"";"53";"Ветер, дующий с запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 20:00";"7.0";"729.0";"";"";"64";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 17:00";"9.0";"729.0";"";"";"53";"Ветер, дующий с запада";"2";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 14:00";"9.0";"728.0";"";"";"59";"Ветер, дующий с запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 11:00";"8.0";"727.0";"";"";"63";"Ветер, дующий с запада";"4";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 08:00";"6.0";"727.0";"";"";"73";"Ветер, дующий с запада";"4";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 05:00";"6.0";"727.0";"";"";"72";"Ветер, дующий с запада";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.09.2020 02:00";"7.0";"727.0";"";"";"51";"Ветер, дующий с запада";"2";"";"";"";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.09.2020 23:00";"9.0";"727.0";"";"";"52";"Ветер, дующий с запада";"2";"";"";"";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
